Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-03-02,1807.25,1840.57,1765.43,1807.7,40207534
2020-03-03,1827.36,1906.87,1827.36,1889.67,39063455
2020-03-04,1882.71,1894.23,1857.9,1860.95,28135069
2020-03-05,1879.11,1893.88,1822.76,1822.85,25502227
2020-03-06,1808.36,1808.36,1749.7,1764.81,34436845
2020-03-09,1685.28,1697.38,1609.08,1625.99,40494707
2020-03-10,1643.34,1657.09,1594.07,1599.48,39334266
2020-03-11,1607.3,1616.03,1495.87,1505.64,44940270
2020-03-12,1450.71,1450.71,1305.73,1305.73,57193099
2020-03-13,1334.37,1442.72,1315.96,1365.97,74136137
2020-03-16,1342.4,1356.01,1248.77,1341.54,64568981
2020-03-17,1370.79,1446.74,1355.07,1429.28,81569696
2020-03-18,1425.27,1465.58,1376.75,1401.29,78265426
2020-03-19,1406.71,1469.43,1386.83,1469.43,51612015
2020-03-20,1502.14,1547.74,1476.65,1488.42,109516157
2020-03-23,1461.22,1463.93,1400.71,1405.45,43978401
2020-03-24,1449.34,1473.02,1424.14,1451.02,37402637
2020-03-25,1487.75,1505.79,1413.22,1441.83,47382329
2020-03-26,1431.53,1492.87,1410.91,1492.01,36791461
2020-03-27,1494.31,1499.62,1465.48,1475.9,33221292
2020-03-30,1482.1,1484.62,1443.16,1477.65,28425038
2020-03-31,1486.89,1523.49,1484.33,1512.84,59768681
2020-04-01,1495.43,1500.43,1473.64,1482.42,36501160
2020-04-02,1490.41,1501.33,1464.86,1491.55,48115276
2020-04-03,1492.1,1509.07,1474.44,1506.48,49706290
2020-04-06,1534.81,1585.04,1534.81,1581.05,45607978
2020-04-07,1602.14,1655.29,1602.14,1603.5,64702693
2020-04-08,1602.33,1619.63,1567.84,1579.18,55926360
2020-04-09,1596.79,1619.77,1579.72,1615.72,50387984
2020-04-14,1631.5,1664.53,1625.89,1662.4,46442620
2020-04-15,1669.23,1673.58,1602.31,1606.21,50591639
2020-04-16,1610.81,1617.55,1589.83,1597.9,43492790
2020-04-17,1618.42,1633.53,1612.01,1625.59,41660521
2020-04-20,1629.69,1643.87,1604.98,1640.06,28317660
2020-04-21,1631.4,1631.4,1572.05,1573.44,33518434
2020-04-22,1574.07,1609.82,1554.34,1605.12,32625994
2020-04-23,1609.41,1626.82,1589.64,1626.1,30890017
2020-04-24,1617.91,1627.49,1601.91,1601.91,26303916
2020-04-27,1614.29,1624.69,1580.48,1591.97,34025549
2020-04-28,1590.34,1622.8,1579.94,1594.25,37309050
2020-04-29,1601.65,1656.4,1600.78,1651.33,35813382
2020-04-30,1661.23,1682.13,1636.35,1648.68,46692062
2020-05-04,1630.24,1630.24,1597.7,1600.65,23786804
2020-05-05,1609.04,1616.34,1591.58,1598.84,22424621
